3401|The Winged Dragon of Ra (alt art)
3409|Aleister the Invoker (alt art)
3411|Apollousa, Bow of the Goddess (alt art)
3413|Destiny HERO - Plasma (alt art)
3415|I:P Masquerena (alt art)
3420|Black Rose Dragon (alt art)
3421|Knightmare Unicorn (alt art)
3423|Eldlich the Golden Lord (alt art)
3431|Invoked Mechaba (alt art)
3433|Sky Striker Ace - Shizuku (alt art)
3435|House Dragonmaid (alt art)
3437|Evil★Twin Ki-sikil (alt art)
3438|Evil★Twin Lil-la (alt art)
3801|Blue-Eyes White Dragon (alt art)
3863|Dark Magician (alt art)
3868|Obelisk the Tormentor (alt art)
3869|Slifer the Sky Dragon (alt art)
3873|Clear Wing Synchro Dragon (alt art)
3880|Dark Magician (alt art)
3881|Elemental HERO Neos (alt art)
3882|Stardust Dragon (alt art)
3894|El Shaddoll Construct (alt art)
3895|El Shaddoll Winda (alt art)
3899|Sky Striker Ace - Kagari (alt art)
4007|Blue-Eyes White Dragon
4041|Dark Magician
4088|Red-Eyes Black Dragon
4998|Obelisk the Tormentor
4999|Slifer the Sky Dragon
5000|The Winged Dragon of Ra
6265|King Dragun
6341|King of the Skull Servants
6344|Elemental HERO Flame Wingman
6397|Cyber End Dragon
6613|Demise, King of Armageddon
6969|Great Shogun Shien
7096|Destiny HERO - Plasma
7171|Rainbow Dragon
7253|Fossil Warrior Skull King
7302|Gladiator Beast Gaiodiaz
7434|Superancient Deepsea King Coelacanth
7516|Caius the Shadow Monarch
7550|Flamvell Uruquizas
7552|Ally of Justice Catastor
7599|Judgment Dragon
7696|Junk Warrior
7698|Colossal Fighter
7734|Stardust Dragon
7735|Red Dragon Archfiend
7898|Black Rose Dragon
7969|Naturia Beast
7973|Ally of Justice Field Marshal
8121|Mist Valley Thunder Lord
8258|Fabled Leviathan
8261|Locomotion R-Genex
8334|XX-Saber Gottoms
8461|Earthbound Immortal Wiraqocha Rasca
8732|Trishula, Dragon of the Ice Barrier
8911|Gem-Knight Ruby
9331|Odin, Father of the Aesir
9332|Legendary Six Samurai - Shi En
9575|Number 39: Utopia
9597|Evigishki Gustkraken
9709|Shooting Quasar Dragon
9729|Galaxy-Eyes Photon Dragon
9824|Constellar Pleiades
9920|Inzektor Exa-Beetle
9963|Superdreadnought Rail Cannon Gustav Max
9970|Void Ogre Dragon
10001|Gem-Knight Master Diamond
10004|Constellar Ptolemy M7
10006|Evilswarm Ophion
10176|Gear Gigant X
10242|Mermail Abyssmegalo
10270|Madolche Queen Tiaramisu
10525|Number 107: Galaxy-Eyes Tachyon Dragon
10534|Mecha Phantom Beast Dracossack
10660|Bujintei Susanowo
10783|Ghostrick Alucard
10932|Number C101: Silent Honor DARK
11016|Number C88: Gimmick Puppet Disaster Leo
11081|Bujinki Amaterasu
11213|Odd-Eyes Pendulum Dragon
11257|El Shaddoll Winda
11258|El Shaddoll Construct
11296|Number 86: Heroic Champion - Rhongomyniad
11313|Masked HERO Dark Law
11358|Apoqliphort Towers
11377|Herald of Ultimateness
11385|Dark Rebellion Xyz Dragon
11413|Number F0: Utopic Future
11471|Mayosenju Daibak
11637|U.A. Playmaker
11721|Clear Wing Synchro Dragon
11765|Cyber Dragon Infinity
11766|Number S39: Utopia the Lightning
11833|Infernoid Tierra
12026|Traptrix Rafflesia
12055|Hi-Speedroid Chanbara
12074|PSY-Framelord Omega
12091|Erebus the Underworld Monarch
12106|Gameciel, the Sea Turtle Kaiju
12137|Dinomist Rex
12153|Buster Blader, the Dragon Destroyer Swordsman
12162|Shiranui Shogunsaga
12222|Super Quantal Mech King Great Magnus
12234|The Winged Dragon of Ra - Immortal Phoenix
12260|Number 38: Hope Harbinger Dragon Titanic Galaxy
12320|Lunalight Leo Dancer
12325|Raidraptor - Ultimate Falcon
12328|Digital Bug Rhinosebus
12450|Coral Dragon
12487|Blue-Eyes Chaos MAX Dragon
12581|Imperion Magnum the Superconductive Battlebot
12590|ABC-Dragon Buster
12628|Starving Venom Fusion Dragon
12642|Toadally Awesome
12676|Ancient Gear Reactor Dragon
12712|Abyss Actor - Superstar
12781|Crystron Quariongandrax
12782|Shiranui Sunsaga
12788|Zoodiac Drident
12849|Invoked Mechaba
12869|Flower Cardian Moonflowerviewing
12906|Astrograph Sorcerer
12938|Master Peace, the True Dracoslaying King
12944|Zefraath
12953|Supreme King Z-ARC
12960|True King of All Calamities
12998|Cosmic Blazar Dragon
13010|Ultimate Conductor Tyranno
13036|Decode Talker
13082|Firewall Dragon
